             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+01    4.3750000000E+03   -2.6250000000E+04    0.0000000000E+00    1.5798386815E-03    7.4358784655E-04    2.8386085423E-03    6.1287140811E-02   -7.1261014331E-02    2.8386085423E-03   -6.4391250653E-02    6.9910725658E-02    2.8386085423E-03   -1.9619977479E-04    1.0584412360E-03    2.8386085423E-03
    1.0000000000E+01    8.7500000000E+03   -2.6250000000E+04    0.0000000000E+00    1.8742169399E-03   -1.4665577615E-03    2.8385922058E-03    6.3818989689E-02   -7.1778375877E-02    2.8385922058E-03   -6.4904731882E-02    7.2370318828E-02    2.8385922058E-03   -1.3854637786E-03    9.0812584550E-04    2.8385922058E-03
    1.0000000000E+01    1.3125000000E+04   -2.6250000000E+04    0.0000000000E+00   -1.8657709015E-03   -1.3683191015E-03    2.8385944884E-03    6.3007687366E-02   -6.8924099844E-02    2.8385944884E-03   -5.9877567855E-02    7.1802326629E-02    2.8385944884E-03   -8.5396151941E-04   -3.6345264350E-03    2.8385944884E-03
    1.0000000000E+01    1.7500000000E+04   -2.6250000000E+04    0.0000000000E+00   -2.3508654644E-03    4.8483722316E-03    2.8385948596E-03    6.4205958063E-02   -7.0672491799E-02    2.8385948596E-03   -6.3205536223E-02    7.4154880386E-02    2.8385948596E-03   -5.3132691981E-03   -3.2998830770E-03    2.8385948596E-03
    1.0000000000E+01    2.1875000000E+04   -2.6250000000E+04    0.0000000000E+00   -1.2519423616E-03   -6.0481384770E-04    2.8385950110E-03    6.3365176706E-02   -6.8505437744E-02    2.8385950110E-03   -6.4341907149E-02    7.3761016651E-02    2.8385950110E-03   -1.1538744824E-03   -1.6980940364E-03    2.8385950110E-03
    1.0000000000E+01    2.6250000000E+04   -2.6250000000E+04    0.0000000000E+00    2.4456214597E-03   -3.0166728327E-03    2.8385950787E-03    6.5025709024E-02   -6.5958629427E-02    2.8385950787E-03   -6.1353431958E-02    7.2627311223E-02    2.8385950787E-03    1.4499869410E-03    1.4183900008E-03    2.8385950787E-03
    1.0000000000E+01    3.0625000000E+04   -2.6250000000E+04    0.0000000000E+00    1.7256257313E-03   -3.2825009216E-03    2.8385951144E-03    6.4335996465E-02   -6.9275351020E-02    2.8385951144E-03   -6.1606408542E-02    7.2350924110E-02    2.8385951144E-03    4.6556741705E-04   -1.8614792882E-03    2.8385951144E-03
    1.0000000000E+01    3.5000000000E+04   -2.6250000000E+04    0.0000000000E+00    2.4443267499E-03   -2.1832094583E-04    2.8385951349E-03    6.1222492386E-02   -7.3163981347E-02    2.8385951349E-03   -6.3767030315E-02    7.0880512852E-02    2.8385951349E-03   -1.1629953841E-03    5.8718613394E-04    2.8385951349E-03
    1.0000000000E+01   -3.5000000000E+04   -2.1875000000E+04    0.0000000000E+00    8.7439346748E-04   -6.8584621102E-04    2.8385944036E-03    6.2276667580E-02   -7.2748517280E-02    2.8385944036E-03   -6.2127349413E-02    7.0392706138E-02    2.8385944036E-03   -2.1893716436E-03   -2.1184255017E-03    2.8385944036E-03
    1.0000000000E+01   -3.0625000000E+04   -2.1875000000E+04    0.0000000000E+00    1.2544842205E-03   -4.9930894365E-04    2.8385915683E-03    6.4241579845E-02   -7.0992349919E-02    2.8385915683E-03   -6.0297327687E-02    7.3579738093E-02    2.8385915683E-03    3.0653037935E-03   -1.0965107645E-03    2.8385915683E-03
