             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+02   -2.5000000000E+03   -1.2500000000E+04    0.0000000000E+00    1.4512631934E-02   -2.4746244039E-03    8.5648449040E-03    1.9940128262E-01   -2.1600350465E-01    8.5648449040E-03   -2.0375305369E-01    2.1266639675E-01    8.5648449040E-03   -1.5710269298E-04   -4.8859788314E-03    8.5648449040E-03
    1.0000000000E+02    0.0000000000E+00   -1.2500000000E+04    0.0000000000E+00    4.2301727007E-03   -6.0867718856E-03    8.5648449262E-03    2.0106043423E-01   -2.0481851046E-01    8.5648449262E-03   -1.9229118698E-01    2.1097823965E-01    8.5648449262E-03   -1.1403994740E-02   -1.7713693746E-03    8.5648449262E-03
    1.0000000000E+02    2.5000000000E+03   -1.2500000000E+04    0.0000000000E+00    9.1710331184E-03    1.5844243949E-02    8.5648449039E-03    2.0461137548E-01   -2.0680171559E-01    8.5648449039E-03   -1.9328565705E-01    2.0753792230E-01    8.5648449039E-03   -3.4679679106E-03    5.1030227149E-03    8.5648449039E-03
    1.0000000000E+02    5.0000000000E+03   -1.2500000000E+04    0.0000000000E+00    1.0457325809E-02    1.2085909033E-03    8.5648435685E-03    2.0644454194E-01   -1.9646734040E-01    8.5648435685E-03   -2.0385407642E-01    2.1615860548E-01    8.5648435685E-03    1.1364810367E-02    1.4211225581E-03    8.5648435685E-03
    1.0000000000E+02    7.5000000000E+03   -1.2500000000E+04    0.0000000000E+00   -8.9005282851E-04   -3.1599542017E-03    8.5648424968E-03    2.0416877042E-01   -2.0161639857E-01    8.5648424968E-03   -1.9670994030E-01    2.0439517614E-01    8.5648424968E-03    2.8506449316E-03    2.6542875110E-03    8.5648424968E-03
    1.0000000000E+02    1.0000000000E+04   -1.2500000000E+04    0.0000000000E+00    5.9487026940E-03    3.4203331413E-03    8.5648424653E-03    1.9504347690E-01   -2.0272515073E-01    8.5648424653E-03   -2.0385258247E-01    2.0605090641E-01    8.5648424653E-03   -6.9136602619E-04    8.6708693286E-03    8.5648424653E-03
    1.0000000000E+02    1.2500000000E+04   -1.2500000000E+04    0.0000000000E+00    1.1698140755E-02   -5.9681412572E-03    8.5648425035E-03    2.0579656913E-01   -2.0757237804E-01    8.5648425035E-03   -2.0179963198E-01    2.1992320004E-01    8.5648425035E-03    7.0142796160E-03   -9.8668788455E-05    8.5648425035E-03
    1.0000000000E+02    1.5000000000E+04   -1.2500000000E+04    0.0000000000E+00    1.9316372521E-03   -5.0734517387E-03    8.5648424821E-03    1.9661831888E-01   -2.1627610204E-01    8.5648424821E-03   -1.9911028383E-01    2.0597868104E-01    8.5648424821E-03   -1.6633044240E-03    6.1588093068E-04    8.5648424821E-03
    1.0000000000E+02    1.7500000000E+04   -1.2500000000E+04    0.0000000000E+00   -9.0002524818E-03   -4.4365163626E-03    8.5648424742E-03    1.9224921962E-01   -2.1074899542E-01    8.5648424742E-03   -2.0820353593E-01    2.0938694962E-01    8.5648424742E-03    8.5691274512E-03    1.8645887054E-02    8.5648424742E-03
    1.0000000000E+02    2.0000000000E+04   -1.2500000000E+04    0.0000000000E+00    1.0854255524E-03    1.3339557371E-03    8.5648424686E-03    1.9842038738E-01   -2.0837556287E-01    8.5648424686E-03   -1.9699216386E-01    2.0266543834E-01    8.5648424686E-03    8.3470512210E-03    1.1582468795E-02    8.5648424686E-03
    1.0000000000E+02   -2.0000000000E+04   -1.0000000000E+04    0.0000000000E+00   -1.0552410273E-02   -7.1622570464E-04    8.5648424725E-03    1.8945342609E-01   -2.0738632194E-01    8.5648424725E-03   -1.9257072404E-01    2.1776921683E-01    8.5648424725E-03   -1.6626140416E-03    3.5597232360E-03    8.5648424725E-03
    1.0000000000E+02   -1.7500000000E+04   -1.0000000000E+04    0.0000000000E+00    2.7834559110E-03    1.7490185845E-04    8.5648424827E-03    2.0094724315E-01   -2.0357984530E-01    8.5648424827E-03   -1.9130484230E-01    2.0368675454E-01    8.5648424827E-03   -7.5279450344E-03    3.1763149314E-03    8.5648424827E-03
    1.0000000000E+02   -1.5000000000E+04   -1.0000000000E+04    0.0000000000E+00    1.2036570594E-03   -1.0431146478E-03    8.5648424822E-03    2.0678312154E-01   -2.0453980048E-01    8.5648424822E-03   -1.9896261091E-01    2.0913309431E-01    8.5648424822E-03    5.1029740953E-03   -6.6388902640E-03    8.5648424822E-03
    1.0000000000E+02   -1.2500000000E+04   -1.0000000000E+04    0.0000000000E+00   -6.4089255562E-03   -8.6181788377E-03    8.5648426757E-03    1.9899368881E-01   -2.0177858070E-01    8.5648426757E-03   -2.0245758588E-01    1.9945676225E-01    8.5648426757E-03    1.0397869641E-02   -3.1526053023E-03    8.5648426757E-03
    1.0000000000E+02   -1.0000000000E+04   -1.0000000000E+04    0.0000000000E+00    5.1043274749E-04   -7.7627102829E-03    8.5648435140E-03    2.0325054209E-01   -2.0674201627E-01    8.5648435140E-03   -2.0264399268E-01    2.0563140568E-01    8.5648435140E-03   -9.2371360898E-03   -6.5175257950E-03    8.5648435140E-03
    1.0000000000E+02   -7.5000000000E+03   -1.0000000000E+04    0.0000000000E+00   -2.7814511682E-03   -7.1940408585E-03    8.5648290854E-03    2.0224909022E-01   -2.0590386417E-01    8.5648290854E-03   -2.0762725034E-01    2.0553479217E-01    8.5648290854E-03   -2.9815973110E-04   -7.9687546052E-03    8.5648290854E-03
    1.0000000000E+02   -5.0000000000E+03   -1.0000000000E+04    0.0000000000E+00   -1.2774039499E-02   -4.2454497059E-03    8.5647871201E-03    1.9982935273E-01   -2.1404972650E-01    8.5647871201E-03   -1.8961527792E-01    2.1124088889E-01    8.5647871201E-03    1.3554287228E-03   -2.8089901551E-03    8.5647871201E-03
    1.0000000000E+02   -2.5000000000E+03   -1.0000000000E+04    0.0000000000E+00    2.3464042330E-03    2.1044972689E-03    8.5647790306E-03    2.0673682512E-01   -2.0434333614E-01    8.5647790306E-03   -2.0083210720E-01    2.0720675021E-01    8.5647790306E-03   -2.1155234071E-03    2.4452086457E-04    8.5647790306E-03
