             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E-01    1.7500000000E+05   -1.2500000000E+05    0.0000000000E+00   -2.9146271792E-04   -1.4401236588E-04    2.7626076484E-04    6.1710535806E-03   -6.7868747399E-03    2.7626076484E-04   -6.7397017295E-03    6.7704549059E-03    2.7626076484E-04    2.7699324767E-04    6.0154788962E-04    2.7626076484E-04
    1.0000000000E-01    2.0000000000E+05   -1.2500000000E+05    0.0000000000E+00    3.4008782717E-05    4.1670634907E-05    2.7148437542E-04    6.2834241527E-03   -6.5970046352E-03    2.7148437542E-04   -6.2762128621E-03    6.4068570878E-03    2.7148437542E-04    2.6404555316E-04    3.6789506225E-04    2.7148437542E-04
    1.0000000000E-01   -2.0000000000E+05   -1.0000000000E+05    0.0000000000E+00   -3.3692049811E-04   -2.8633930456E-05    2.7172201844E-04    6.0117562263E-03   -6.5757397614E-03    2.7172201844E-04   -6.1320430852E-03    6.8908333227E-03    2.7172201844E-04   -5.1804061487E-05    1.1609536310E-04    2.7172201844E-04
    1.0000000000E-01   -1.7500000000E+05   -1.0000000000E+05    0.0000000000E+00    8.4687601990E-05   -6.7087546604E-07    2.7604659080E-04    6.4445747034E-03   -6.5583402543E-03    2.7604659080E-04   -6.1771823736E-03    6.5878444506E-03    2.7604659080E-04   -2.3818803043E-04    1.0642070104E-04    2.7604659080E-04
    1.0000000000E-01   -1.5000000000E+05   -1.0000000000E+05    0.0000000000E+00    3.7944235955E-05   -3.6780312709E-05    2.8246491112E-04    6.7777289150E-03   -6.8043962944E-03    2.8246491112E-04   -6.4994002798E-03    6.9398052305E-03    2.8246491112E-04    1.6915511735E-04   -2.1765384828E-04    2.8246491112E-04
    1.0000000000E-01   -1.2500000000E+05   -1.0000000000E+05    0.0000000000E+00   -2.1408284883E-04   -2.8402385756E-04    2.8336911204E-04    6.5522615259E-03   -6.7185327787E-03    2.8336911204E-04   -6.6474513448E-03    6.6383040750E-03    2.8336911204E-04    3.4370264147E-04   -1.0618568235E-04    2.8336911204E-04
    1.0000000000E-01   -1.0000000000E+05   -1.0000000000E+05    0.0000000000E+00    1.6447652479E-05   -2.5321146233E-04    2.8283630971E-04    6.6576281062E-03   -6.8801919832E-03    2.8283630971E-04   -6.6378890811E-03    6.8433608560E-03    2.8283630971E-04   -3.0835686083E-04   -2.1606537052E-04    2.8283630971E-04
    1.0000000000E-01   -7.5000000000E+04   -1.0000000000E+05    0.0000000000E+00   -8.5420206160E-05   -2.2469274531E-04    2.7795184166E-04    6.5039037855E-03   -6.7253870546E-03    2.7795184166E-04   -6.6994390954E-03    6.7240868231E-03    2.7795184166E-04   -2.2057726030E-05   -2.6547532791E-04    2.7795184166E-04
    1.0000000000E-01   -5.0000000000E+04   -1.0000000000E+05    0.0000000000E+00   -3.8597279835E-04   -1.2543477147E-04    2.6612011984E-04    6.2157504991E-03   -6.5495325738E-03    2.6612011984E-04   -5.9865931252E-03    6.5716952226E-03    2.6612011984E-04    2.5034712161E-05   -9.3044984158E-05    2.6612011984E-04
    1.0000000000E-01   -2.5000000000E+04   -1.0000000000E+05    0.0000000000E+00    7.5892828561E-05    7.0286697248E-05    2.6111653289E-04    6.3757532591E-03   -6.1372510141E-03    2.6111653289E-04   -6.2135560823E-03    6.2455902745E-03    2.6111653289E-04   -7.2002161375E-05    6.8288062188E-07    2.6111653289E-04
    1.0000000000E-01    0.0000000000E+00   -1.0000000000E+05    0.0000000000E+00    9.7973174628E-05   -1.0951020787E-04    2.5988576786E-04    6.2544655302E-03   -6.3296052156E-03    2.5988576786E-04   -6.0063706807E-03    6.3604970976E-03    2.5988576786E-04    6.3455403550E-06   -3.1094231105E-04    2.5988576786E-04
    1.0000000000E-01    2.5000000000E+04   -1.0000000000E+05    0.0000000000E+00    1.4549356748E-04    1.1001030369E-04    2.6111653289E-04    6.5116898670E-03   -6.6234283472E-03    2.6111653289E-04   -6.0316071571E-03    6.1688960818E-03    2.6111653289E-04   -2.1661046216E-04   -3.1853128594E-04    2.6111653289E-04
    1.0000000000E-01    5.0000000000E+04   -1.0000000000E+05    0.0000000000E+00   -2.8664604777E-04    7.7786650099E-05    2.6807106809E-04    6.2722458097E-03   -6.7363052831E-03    2.6807106809E-04   -6.3787587138E-03    6.4293166393E-03    2.6807106809E-04    2.0090155541E-04   -1.0085410059E-06    2.6807106809E-04
    1.0000000000E-01    7.5000000000E+04   -1.0000000000E+05    0.0000000000E+00    4.1439817859E-05   -1.2234457618E-04    2.7795184166E-04    6.2722967803E-03   -6.8645543765E-03    2.7795184166E-04   -6.2464072003E-03    7.0151443120E-03    2.7795184166E-04    8.4212812716E-06    1.5179993919E-04    2.7795184166E-04
